condition_label,medical_abstract
5,"Late recurrence of a hepatocellular carcinoma in a patient with incomplete Alagille syndrome. In this study, the case of a patient presenting a second hepatocellular carcinoma 13 years after resection of a first tumor of the same type is reported. In this case, etiological investigations remained negative, but an incomplete form of syndromatic Alagille syndrome with paucity of bile ducts in the nontumoral tissue was detected and associated with nodular regenerative hyperplasia and foci of dysplasia. Malignant transformation in Alagille syndrome seems to be extremely rare. The fact that such tumors evolve very slowly could be an argument for partial hepatectomy and, if necessary, liver transplantation. "
5,"Hospital management of voluntary total fasting among political prisoners In 1989 20 political detainees, held without trial for up to 32 months, were admitted, on hunger strike, to the Johannesburg Hospital, South Africa. Most were held under the regulations of the State of Emergency (since revoked) and 5 were held incommunicado under section 29 of the Internal Security Act (still in force). Guidelines for ethical management were based on the Declaration of Tokyo, which included the understanding that such detentions constituted mental torture. Conditions of detention in hospital were complicated by police interference in medical and nursing care, and by the chaining of some prisoners to their beds. Doctors are in a unique position to protest against inhuman treatment of prisoners, and should use this authority. "
1,"Cancer mortality in workers exposed to 2,3,7,8-tetrachlorodibenzo-p-dioxin BACKGROUND. In both animal and epidemiologic studies, exposure to dioxin (2,3,7,8-tetrachlorodibenzo-p-dioxin, or TCDD) has been associated with an increased risk of cancer. METHODS. We conducted a retrospective cohort study of mortality among the 5172 workers at 12 plants in the United States that produced chemicals contaminated with TCDD. Occupational exposure was documented by reviewing job descriptions and by measuring TCDD in serum from a sample of 253 workers. Causes of death were taken from death certificates. RESULTS. Mortality from several cancers previously associated with TCDD (stomach, liver, and nasal cancers, Hodgkin's disease, and non-Hodgkin's lymphoma) was not significantly elevated in this cohort. Mortality from soft-tissue sarcoma was increased, but not significantly (4 deaths; standardized mortality ratio [SMR], 338; 95 percent confidence interval, 92 to 865). In the subcohort of 1520 workers with greater than or equal to 1 year of exposure and greater than or equal to 20 years of latency, however, mortality was significantly increased for soft-tissue sarcoma (3 deaths; SMR, 922; 95 percent confidence interval, 190 to 2695) and for cancers of the respiratory system (SMR, 142; 95 percent confidence interval, 103 to 192). Mortality from all cancers combined was slightly but significantly elevated in the overall cohort (SMR, 115; 95 percent confidence interval, 102 to 130) and was higher in the subcohort with greater than or equal to 1 year of exposure and greater than or equal to 20 years of latency (SMR, 146; 95 percent confidence interval, 121 to 176). CONCLUSIONS. This study of mortality among workers with occupational exposure to TCDD does not confirm the high relative risks reported for many cancers in previous studies. Conclusions about an increase in the risk of soft-tissue sarcoma are limited by small numbers and misclassification on death certificates. Excess mortality from all cancers combined, cancers of the respiratory tract, and soft-tissue sarcoma may result from exposure to TCDD, although we cannot exclude the possible contribution of factors such as smoking and occupational exposure to other chemicals. "
4,"An inconsistent relationship between insulin and blood pressure in three Pacific island populations. The evidence linking insulin to blood pressure is controversial, and results for groups similarly categorized by body mass, glucose tolerance and hypertensive status are often contradictory. We have investigated the relationship in three population-based samples of Micronesian (Nauru), Polynesian (Western Samoa) and Melanesian (New Caledonia) Pacific islanders, who are known to be susceptible to obesity, non-insulin-dependent diabetes mellitus (NIDDM), hyperinsulinaemia and hypertension. After controlling for age and body mass index (BMI), mean fasting and 2-hr (post 75 g glucose) insulin levels were not significantly different between hypertensive and non-hypertensive subjects, in any population or glucose tolerance sub-group, excepting 2-hr insulin in New Caledonians with normal glucose tolerance. Similarly, there were no strong trends for a higher prevalence of hypertension amongst those with insulin levels in the upper quartile of the distribution of each population, although it was apparent in some BMI/glucose tolerance sub-groups of two populations. Multiple linear regression analyses also showed an inconsistent and where present, weak, independent association between insulin and blood pressure in models predicting both systolic and diastolic blood pressure. We therefore conclude that the hypothesis implicating insulin as a major determinant of blood pressure and as the pathophysiological link between obesity, NIDDM and hypertension is not strongly supported either by the literature or the present data. "
5,"Significance of magnetic resonance imaging in acute head injury. One hundred seventy-seven patients who had incurred head trauma were studied with magnetic resonance imaging (MRI). Patients varied from those with mild injury without any focal neurological deficit to those with severe injury with post-traumatic coma. Altogether, 177 lesions were demonstrated by MRI in 123 of 177 patients within 3 days of injury using T2-weighted (SE2000/40,2000/111) and T1-weighted (IR1500/500/40) multislice sequences. In contrast, computerized tomography (CT) demonstrated 103 lesions in 90 patients. MRI was superior to CT in the diagnosis of nonhemorrhagic contusions demonstrated as a high-intensity area on T2-weighted imaging. MRI provided some information to evaluate the severity of diffuse axonal injury or to predict delayed traumatic intracerebral hematoma (DTICH). "
5,"Similar time course of ST depression during and after exercise in patients with coronary artery disease and syndrome X. To assess whether the time course of ST segment depression differs in patients with coronary artery disease and patients with angina and normal coronary arteries, the exercise tests of 54 patients with documented coronary artery disease and 25 patients with syndrome X (angina, positive exercise test, no evidence of coronary artery spasm, and normal coronary arteries) were compared. All tests were performed with therapy withheld, using the modified Bruce protocol. In each test, time, heart rate and blood pressure were measured at the onset and at 1 mm of ST segment depression, and at peak exercise. Recovery (return of the ST segment to baseline +/- 0.2 mm) time was also assessed. Peak ST segment depression was similar in coronary artery disease and syndrome X patients (1.5 +/- 0.3 versus 1.6 +/- 0.4 mm). In 42 coronary artery disease patients, ST segment depression developed early (less than or equal to 6 minutes) during exercise; this was associated with a short recovery (less than or equal to 3 minutes) in 17 (40%) and with a long recovery (greater than 3 minutes) in 25 (60%) patients. In 17 patients with syndrome X, ST segment depression developed early; it was associated with a short recovery in six (35%) and with a long recovery in 11 (65%) patients. Late (greater than 6 minutes) onset of ST segment depression was observed in 12 coronary artery disease patients; of these, eight (67%) had a short recovery and 4 (33%) had a long recovery. Late onset of ST segment depression occurred in eight patients with syndrome X; six (75%) had a short recovery and two (25%) had a long recovery. "
1,Late development of a squamous carcinoma in a reconstructed pharynx. We report a case in which a squamous cell carcinoma was found to have arisen from a delto-pectoral skin flap used in pharyngeal reconstruction. The flap had been forming a neo-pharynx for 24 years. No other signs of recurrent disease had developed in this period. This raises the possibility of tumour induction in heterotopic skin used for oropharyngeal reconstruction. 
4,"Estrogen replacement and coronary artery disease. Effect on survival in postmenopausal women. The relationship among postmenopausal estrogen use, coronary stenosis, and survival was examined retrospectively in 2268 women undergoing coronary angiography. The patients were selected for study if their age was 55 years or older at the time of angiography or if they had previously undergone bilateral oophorectomy. Postmenopausal estrogen use in 1178 patients with coronary artery disease (greater than 70% stenosis) and 644 patients with mild to moderate coronary artery disease (5% to 69% stenosis) was compared with 446 control subjects (0% stenosis) using life-table analysis. Over 10 years of follow-up, there was no significant difference in survival among patients initially free of coronary lesions on arteriography who had either never used (377) or ever used (69) estrogens. Among patients with mild to moderate coronary stenosis, 10-year survival of those who had never used estrogens was 85.0% and it was 95.6% among 99 ""ever users."" Survival was 60.0% among those with more than 70% coronary stenosis who had never used estrogen and it was 97.0% among 70 ever users. The ""never users"" group were older (65 vs 59 years), had a lower proportion of cigarette smokers (40% vs 57.1%), a higher proportion of subjects with diabetes (21.7% vs 12.9%) and hyperlipidemia (58% vs 44%), and approximately equal numbers of hypertensives (56.0% vs 54.3%). Cox's proportional hazards model was used to estimate survival as a function of multiple covariables. Estrogen use was found to have a significant, independent effect on survival in women. We conclude that estrogen replacement after menopause prolongs survival when coronary artery disease is present, but it has less effect in the absence of coronary artery disease. "
2,"Gallstone dissolution. Many methods are available for gallstone dissolution, including oral bile salts; cholesterol solvents such as mono-octanoin or methyl tert-butyl either; and calcium or pigment solvents such as EDTA and polysorbate. Which of these approaches will be appropriate for an individual patient depends on the type of stones; whether they are in the gallbladder or the bile ducts; whether access to the biliary tree is available; the patient's age and general medical condition; and the availability of necessary expertise. In the US, both chenodeoxycholate and ursodeoxycholate are now available. Ursodeoxycholate is more expensive but appears to produce fewer side effects and may be more efficacious. These agents are most effective in thin women with small floating, radiolucent cholesterol stones in a functioning gallbladder. Only about half of the small subset of patients will experience partial or complete dissolution of stones within a year. Stone recurrence and the potential toxicity of long-term therapy are problems with this approach. Therefore, for most patients, cholecystectomy, either in the traditional fashion or using a laparoscopic approach (see article later in this issue by Gadacz et al), is the most cost-effective and perhaps the safest option. Intragallbladder instillation of methyl tert-butyl ether probably will be applicable only to a small subset of patients, and treatment is likely to be followed by a high recurrence rate. In patients with retained common duct cholesterol stones and access to the biliary tree, mono-octanoin therapy is advantageous in that it can be initiated as soon as cholangiography demonstrates no extravasation. In properly selected patients, a 90% success rate with this technique can be expected within 7 days. "
4,"Two-year outcome after angiographically documented myocardial reperfusion for acute coronary occlusion. Thrombolysis and Angioplasty Study Group. Reperfusion therapy has been clearly shown to decrease the early mortality after acute myocardial infarction, but the impact of this therapy on long-term survival has been less extensively evaluated. This study reports the extended follow-up of a large cohort of 810 patients treated with intravenous thrombolytic therapy combined, when considered necessary to maintain or augment infarct vessel patency, with mechanical reperfusion therapies. Each patient underwent coronary angiography within 2 hours of the initiation of the thrombolytic infusion. Coronary angioplasty was performed in 62% of the patients before hospital discharge and 21% underwent coronary artery bypass graft surgery. Follow-up was obtained in 96% to a mean of 18.8 months (range, 1.5 to 48 months). All-cause mortality over this period was 3.3%; 2.1% died from cardiac causes. Nonfatal reinfarction occurred in 5.1%. Although the low event rate limits the validity of statistical comparisons, the patients who survived the follow-up period tended to be younger (56 +/- 10 vs 65 +/- 7 years), to have better predischarge left ventricular function (left ventricular ejection fraction, 52 +/- 11 vs 46 +/- 13%) and to have a lower prevalence of multivessel coronary artery disease (45 vs 67%). This excellent long-term survival may, in part, reflect the exclusion of high-risk patients from enrollment in the Thrombolysis and Angioplasty in Myocardial Infarction (TAMI) studies. It may also be attributable, however, to the frequent use of combined thrombolysis and mechanical revascularization in this population. "
5,"Reconstruction of patellar tendon rupture after total knee arthroplasty with an extensor mechanism allograft. Although patellar tendon rupture after total knee arthroplasty (TKA) is a rare complication, the consistently poor outcome of conventional tendon repair has convinced some to abandon such reconstruction in favor of a prospective protocol using an allograft distal extensor mechanism. The graft consists of a quadriceps tendon, a patella with a cemented prosthesis, a patellar tendon, and a tibial tubercle. Since December 1985, 13 knees in 12 patients were reconstructed using this method. Ten knees were followed for six to 51 months; five of these knees were followed for more than 24 months. Knee extension power and improved function were ultimately attained in all cases, although minimal extensor lags were present in three cases. Preoperative motion returned in all but one knee. Healing of the allograft to the host tissue was attained primarily at all of the tibial junctions. Two graft complications occurred, both in the first three months after surgery: one quadriceps junction treated by resuture failed at the one-month mark, and the other graft had to be revised for extensor weakness from rupture of the graft at the patella-patellar tendon junction, which was attributed to surgical damage to the tendon. After completion of healing to the host and rehabilitation of the knee joint, no grafts in the series failed during the course of normal daily activities. One patient fractured the allograft patella in a severe fall. The long-term durability of this construct needs to be studied further. "
2,"Computed tomographic and ultrasonographic findings in women with acute fatty liver of pregnancy. Acute fatty liver of pregnancy is associated with complications that can influence antepartum management and necessitate delivery. To date, liver biopsy has been regarded as the ""gold standard"" for diagnosis. Radiologic evaluation of the liver has been suggested as a less invasive means of diagnosing this entity. Five patients with acute fatty liver of pregnancy underwent ultrasonography; three underwent concomitant computed tomography (CT) of the liver. The liver appeared to be normal in all the patients undergoing CT evaluation and all undergoing ultrasonography except one. Normal liver examinations are not unusual findings in patients with acute fatty liver of pregnancy. "
1,"Prognostic factors in primary retroperitoneal soft-tissue sarcomas. We analyzed independent treatment variables (age, sex, signs and symptoms, site, size, histopathologic findings, grade, and clinical presentation) and treatment-dependent variables (resectability, type of operation, surgical margins, surgical boundaries, microscopic margins, adjuvant radiotherapy, and adjuvant chemotherapy) in 80 patients with primary retroperitoneal soft-tissue sarcomas admitted from 1982 through 1988. Both univariate and multivariate analysis of survival and disease-free survival were performed. The major factor in survival outcome was the ability to completely resect the lesion. When the 62 patients who underwent complete resection were examined, the only independent prognostic factor for both survival and disease-free survival was grade. We conclude that completeness of resection and grade of the lesion are primary determinants of survival. Once all tumor is macroscopically removed, no advantage could be demonstrated by more extensive surgical resection or current adjuvant therapy. "
1,Left superior vena cava: a pitfall in computed tomographic diagnosis with surgical implications. We report 2 cases in which computed tomography of the mediastinum demonstrated an abnormality originally misinterpreted as lymphadenopathy but subsequently shown to represent a left superior vena cava. Misinterpretation may result in errors in optimum treatment and may complicate surgical exploration of the mediastinum. These 2 cases are presented to remind radiologists and surgeons of the possibility of this unusual anatomy. 
3,"Long-term follow-up of patients operated on for recurrent carotid stenosis. We reviewed our experience with 29 operations for recurrent carotid stenosis in 27 patients who underwent both their primary carotid endarterectomy and their reoperations at our institution. These 27 patients represent 4% of the 667 patients who underwent primary carotid endarterectomies at our institution and who are included in our carotid follow-up registry. Reoperation was prompted by recurrent symptoms in 19/29 (65.5%) cases. Comparison of long-term stroke prevention in those patients who did (84% at 5 years, 78.6% at 10 years) and did not (90.3% at 5 years, 83.6% at 10 years) develop recurrent stenosis requiring reoperation revealed no statistically significant difference (p = 0.48) when measured from the time of primary operation. The perioperative stroke and death rates for reoperation (3.4% and 0%) were acceptable. We conclude that with our acceptably low perioperative stroke morbidity (3.4%), surgery for recurrent carotid stenosis in symptomatic patients or in asymptomatic patients with high-grade (greater than or equal to 75%) stenosis maintains the durable stroke prevention offered by primary carotid endarterectomy. "
1,"Tumor-targeted chemotherapy with lipid contrast medium and macromolecular anticancer drug (SMANCS) for renal cell carcinoma. Twenty-five patients with renal cell carcinoma were treated with a lipophilic macromolecular drug, poly(stylene-co-maleic acid)-conjugated neocarzinostatin (SMANCS) dissolved in lipid contrast medium (Lipiodol). The drug was injected by catheterizing the renal artery and another feeding artery in 24 patients, and in the common hepatic artery in 1 patient with metastases to the liver after a radical nephrectomy. The procedure of selective arterial administration of 3-20 mg/mL of SMANCS/Lipiodol was simple to perform and was required once every two to three weeks. Total dose of SMANCS for each patient varied from 3 to 57 mg. Both SMANCS and Lipiodol accumulated more selectively in tumor than in any other tissue and remained in the neovasculature and extracapillary space for a long time. CT pattern of the remaining oil contrast medium in the tumor was characterized by the high-density area localized mainly in the periphery of the tumor around the central necrosis. When hyperviscosity Lipiodol (Lipiodol HV) was used as lipid contrast medium, it remained more persistently in the tumor and disappeared more slowly than Lipiodol. Moreover, the pronounced anticancer effect was recognized when SMANCS/Lipiodol HV was administered compared with only SMANCS/Lipiodol. Severe side effects, such as myelosuppression, unendurable pain, paralytic ileus, etc., were not observed. This targeting chemotherapy may be of great significance for advanced renal cell carcinoma. "
1,"Increased epidermal growth factor receptors in seborrheic keratoses and acrochordons of patients with the dysplastic nevus syndrome. Seborrheic keratoses and acrochordons may change in biologic behavior with pregnancy or during treatment with sex steroids. Because epidermal growth factor receptor localization may change in hyperproliferative skin diseases, we compared epidermal growth factor receptor immunolocalization in seborrheic keratoses and acrochordons from women who were or were not pregnant or taking oral sex steroid hormones. Epidermal growth factor receptor was further investigated in growing and quiescent seborrheic keratoses and acrochordons from women with and without the dysplastic nevus syndrome. The epidermal growth factor receptor concentration was strikingly elevated in suprabasilar keratinocytes of growing seborrheic keratoses and acrochordons from patients with the dysplastic nevus syndrome who were pregnant or taking sex steroid hormones and less elevated in growing seborrheic keratoses from other patients. In contrast, the epidermal growth factor receptor distribution pattern in acrochordons did not correlate as well with the history of growth of these lesions in normal patients. These data suggest sex steroids may affect epidermal growth factor receptor metabolism in benign epidermal hyperproliferative lesions, particularly in patients with the dysplastic nevus syndrome. "
5,"A patient-oriented approach to perilymph fistula. The subject of perilymph fistula is controversial in part because the preoperative diagnosis of perilymph fistula is difficult. Patients suffering auditory and vestibular symptoms secondary to perilymph fistula, therefore, present a dilemma to the practicing physician. In some instances, patients with auditory and vestibular symptoms in the absence of perilymph fistula will be subjected to middle ear exploration without benefit, while in other instances patients with auditory and vestibular symptoms secondary to perilymph fistula will be denied surgical treatment. Auditory and vestibular symptoms are a quality of life issue. Therefore, in an effort to provide care of the highest quality the patient must be actively involved in the decision process. Such involvement can be meaningful only after the patient is carefully counseled as to the pros and cons of surgery, as well as the alternatives. A prognostic paradigm based on the personal experience of one of us (W.L.M.) with perilymph fistula patients is described and is used in patient consultation in an effort to facilitate decision making. "
2,"Hereditary internal anal sphincter myopathy causing proctalgia fugax and constipation. A newly identified condition. A newly identified myopathy of the internal anal sphincter is described. In the affected family, at least one member from each of five generations had severe proctalgia fugax; onset was usually in the third to fifth decades of life. Three members of the family have been studied in detail. Each had severe pain intermittently during the day and hourly during the night. Constipation was an associated symptom, in particular difficulty with rectal evacuation. Clinically the internal anal sphincter was thickened and of decreased compliance. The maximum anal canal pressure was usually increased with marked ultraslow wave activity. Anal endosonography confirmed a grossly thickened internal anal sphincter. Two patients were treated by internal anal sphincter strip myectomy; one showed marked improvement and one was relieved of the constipation but had only slight improvement of the pain. The hypertrophied muscle in two of the patients showed unique myopathic changes, consisting of vacuolar changes with periodic acid-Schiff-positive polyglycosan bodies in the smooth muscle fibers and increased endomysial fibrosis. In vitro organ-bath studies showed insensitivity of the muscle to noradrenaline, isoprenaline, carbachol, dimethylpiperazinium, and electrical-field stimulation. Immunohistochemical studies for substance P, calcitonin gene-related peptide, galanin, neuropeptide Y, and vasoactive intestinal peptide showed staining in a similar distribution to that in control tissue. A specific autosomal-dominant inherited myopathy of the internal anal sphincter that causes anal pain and constipation has been identified and characterized. "
5,"Itraconazole in opportunistic mycoses: cryptococcosis and aspergillosis. Striking results were obtained with oral itraconazole therapy in two opportunistic mycoses. Of 28 patients with cryptococcal meningitis, 18 achieved complete responses, including 16 of 24 patients with acquired immunodeficiency syndrome. Other manifestations of cryptococcosis were similarly responsive. In aspergillosis 12 of 15 patients responded, including 8 of 10 immunocompromised hosts. These patients included those with invasive pulmonary disease (4/5), skeletal disease (2/2), pleural disease (1/2), and pericardial, sinus, mastoid, hepatosplenic, or nail disease (1/1). These results with itraconazole compare favorably to conventional (parenteral) therapy, and toxicity was minimal. This suggests that comparative trials are now in order. "
1,"Detection of HTLV-I proviral sequences in CD30-positive large cell cutaneous T-cell lymphomas. To investigate the possibility that cutaneous T-cell lymphomas of large cell type may be associated with human T-cell leukemia/lymphoma virus type I infection in nonendemic regions, tissue samples from six cases of large cell cutaneous T-cell lymphoma and four cases of small cell cutaneous T-cell lymphoma were screened for the presence of integrated proviral human T-cell leukemia/lymphoma virus type I DNA. Combined use of Southern blot hybridization and enzymatic DNA amplification revealed human T-cell leukemia/lymphoma virus type I-specific sequences in all cases of large cell cutaneous T-cell lymphoma and in none of the cases of small cell cutaneous T-cell lymphoma. These results suggest that in nonendemic areas, a significant proportion of large cell cutaneous T-cell lymphoma cases are associated with human T-cell leukemia/lymphoma virus type I. "
5,"The early diagnosis and treatment of developmental patella infera syndrome. Developmental patella infera and associated arthrofibrosis after knee surgery require prompt recognition and treatment. The condition develops because of contracture of peripatellar tissues, fatpad tissues, and quadriceps weakness, and may rapidly progress to permanent patella infera and disabling patellofemoral arthrosis. Case studies for five patients with acute developmental patella infera are described. All patients required an early arthroscopic release of contracted tissues. To establish normal right to left patellar, vertical-height ratios, lateral roentgenograms were obtained in 202 normal knees (101 pairs). The data showed that although essentially no difference existed between right and left sides, large variations existed in the ratios from one individual to another (range, 0.75-1.46). Thus, the diagnosis of developmental patella infera requires comparison of patellar height ratios in the same knee or between knees in the same individual. A decrease in the vertical-height ratio of 11%-15%, depending on the method used, indicates developmental patella infera. "
2,"Multifocal colitis associated with an epidemic of chronic diarrhea. An outbreak of a chronic diarrheal syndrome was detected between May and August 1987 in rural Henderson County, Illinois. Seventy-two individuals were affected. Epidemiological studies performed by the Center for Disease Control implicated the water of a local restaurant as the source of the outbreak. Five patients underwent a comprehensive evaluation. Their mean age was 51 years, and they had a mean of 12 watery stools daily (range, 6-40). Detailed microbiological evaluations failed to identify a pathological organism. Stool studies showed a mean stool weight of 392 g/24 h with a normal fat content. Results of all biochemical studies of serum were normal. Chemical analysis of stool water suggested a secretory diarrhea. Colonoscopy revealed patchy erythema, and light microscopic examination of colonic biopsy specimens revealed multifocal areas of acute inflammation in the superficial mucosa in 4 of 5 patients. Electron microscopy of the affected areas revealed no viral particles. After 2 years, all of our patients continued to experience chronic diarrhea. One patient agreed to a follow-up colonoscopy; histological abnormalities of the colonic mucosa persisted after 2 years. We speculate that an infectious process arising from a contaminated water system induced a chronic, secretory diarrhea characterized by multifocal colitis. This histological abnormality may serve as a marker of an infectious, chronic diarrhea. "
2,"Intestinal obstruction by distension of a Foley jejunostomy catheter. Jejunostomies can be effective in permitting postoperative nutritional support, particularly in the patient with complicated gastrointestinal disease. In the case presented, however, distension of the Foley balloon catheter, used as the jejunostomy tube, led to intestinal obstruction which was not initially detected. Following radiographic identification of the problem, removal of the air from the Foley balloon allowed the patient to complete his convalescence from surgery. The possibility of obstruction from the Foley jejunostomy catheter should be recognized as a potential problem in the postoperative period. "
1,"Mechanical ventilation in medical and neurological diseases: 11 years of experience. Mechanical ventilation (MV) is imperative in many forms of acute respiratory failure (ARF). The aim of this work was to review all episodes of MV in a Medical Intensive Care Unit (MICU) during the 11-year period 1976-1986. Four per cent (n = 1008) of 24,899 admissions to the MICU were treated with MV. The mean age of ventilator-treated patients was 53 +/- 18 years, and obviously it increased during the period of study. The average duration of MV was 4.7 d. MICU mortality, hospital mortality and 2-year mortality rates for patients subjected to MV were 33%, 38% and 46%, respectively. The mortality rate did not change during the study period. Cerebrovascular and malignant diseases carried the highest mortality rates, 75 and 79%, respectively, whereas mortality in patients ventilated because of drug overdose (n = 313) was only 2%. The results of this study confirm previously published findings concerning the outcome of MV, and we conclude that the effects of MV remain discouraging in medical and neurological patients. Improved quality of ventilator therapy and monitoring, as well as continued research directed at the causes of ARF, are equally important in reducing the mortality in ARF. "
5,"Relationship of parental smoking to wheezing and nonwheezing lower respiratory tract illnesses in infancy. Group Health Medical Associates. The relationship between parental smoking and lower respiratory tract illness (LRI) was studied in a large cohort of infants followed prospectively from birth. Illnesses were diagnosed by physicians using agreed-on criteria, and parental smoking histories were obtained by questionnaire. The LRIs were differentiated into wheezing and nonwheezing episodes, and the age at first illness of either type was evaluated in relation to smoking by parents. The odds of having an LRI were significantly higher in children whose mothers smoked (odds ratio 1.52; confidence interval 1.07 to 2.15). The odds were higher if the mother smoked a pack of cigarettes or more per day and if the child stayed home rather than attending day care (odds ratio 2.8; confidence interval 1.43 to 5.5). Logistic regression indicated that the LRI rate was significantly elevated both in children exposed to heavy maternal smoke in the absence of day care, and in those who use day care but were not exposed to maternal smoking of a pack or more per day. These findings could not be attributed to other confounding variables. Neither paternal smoking nor smoking by other household members was consistently related to the LRI rate. The relationship of maternal smoking to LRI rate was evident for both wheezing and nonwheezing illnesses. Maternal smoking of a pack or more per day was also related to an early age at first LRI, for both wheezing (p less than 0.05) and nonwheezing (p less than 0.002) illnesses. In sum, maternal smoking is associated with a higher rate of LRIs in the first year, particularly when mothers smoked a pack or more per day and when the child did not use day care. "
4,"Sustained calcium channel blockade in the treatment of severe hypertension. A two year experience. Thirty-nine patients with severe hypertension (diastolic blood pressure greater than 120 mm Hg) predominantly drawn from an inner-city population were placed on nifedipine gastrointestinal therapeutic system (GITS) for long-term treatment to achieve a sustained diastolic blood pressure less than 95 mm Hg. Fourteen patients failed to complete 6 months of therapy. For the 25 who remained in treatment for 6 months or more, systolic/diastolic blood pressure reductions were 62 +/- 5/40 +/- 2 mm Hg at 6 months; for those followed more than 12 months (n = 18), 58 +/- 7/37 +/- 3 mm Hg at 12 months; and for those followed more than 18 months (n = 11), 54 +/- 6/37 +/- 3 mm Hg at 18 months. Overall, 75% of these severely hypertensive patients were controlled with nifedipine GITS alone; 80% required 90 mg/day or more. During the two years of observation, no patient had a severe medical event, and 44% of those who entered remain in treatment. Left ventricular hypertrophy, as determined by echocardiography, diminished significantly during the course of treatment. These results indicate nifedipine GITS is well-tolerated and effective as monotherapy in the treatment of severe hypertension. "
1,"The epidemiology of ophthalmic malignancies in New York State. The epidemiologic characteristics of more than 1400 primary eye cancers (ICD-9, site 190) diagnosed among New York State (NYS) residents between 1975 and 1986 are described. Among NYS male residents, the average annual age-adjusted incidence rate was 7.5 per 1,000,000, and among NYS female residents, the rate was 5.4 per 1,000,000 (male:female rate ratio, 1.39). The majority of ophthalmic malignancies were included within three histologic groupings: melanomas (70.4%), retinoblastomas (9.8%), and squamous cell carcinomas (9.2%). The average annual incidence of retinoblastoma among persons in NYS who were less than 5 years of age was 9.5 per 1,000,000 for boys and 8.7 per 1,000,000 for girls (male:female rate ratio, 1.09). The average annual incidence (age-adjusted) of ocular melanomas was 4.9 per 1,000,000 among men and 3.7 per 1,000,000 among women in NYS (male:female rate ratio, 1.32). Expanded knowledge of the epidemiology of ophthalmic cancers can help to develop a foundation on which to monitor disease patterns and can serve to stimulate further etiologic research involving these rare malignancies. "
4,"Nonbacterial thrombotic endocarditis in Hong Kong Chinese. Fifty-two Hong Kong Chinese cases of nonbacterial thrombotic endocarditis at autopsy were reviewed to ascertain if there was any difference in autopsy incidence, associated diseases, age and sex incidence, distribution of infarcts, and pattern of valve involvement compared with that in previously reported series. The overall autopsy incidence was 0.68%, within the range of previous reports. Forty-one cases (79%) were associated with malignant neoplasms; the remaining 11 cases were associated with miscellaneous disorders. Adenocarcinoma was associated with 27 (52%) of the cases. Unusual findings were the association of five cases with intrahepatic cholangiocarcinoma and four cases with esophageal squamous carcinoma. This is explicable on the basis of a higher incidence of these two tumors in Hong Kong Chinese than in Western populations, ie, the source of most other reported series. Sex and age incidence, the distribution of infarcts, and the pattern of valve involvement were similar to those reported in other series of nonbacterial thrombotic endocarditis. "
5,High or low hepaticojejunostomy for bile duct strictures? The 19 patients who underwent 22 postoperative repairs of bile duct stricture in our institution between 1973 and 1984 were evaluated to assess whether the recognition of the tenuous blood supply of the supraduodenal bile duct in 1979 had improved the results thereafter. Thirteen of these 22 operations followed a previous biliary tract repair; in 10 of the operations a low anastomosis had been performed without taking blood supply into account. Follow-up was complete and ranged from 5 to 15 years. There were no operative deaths and minimal morbidity. There were three deaths at a later time. Five of the 11 patients treated by surgery to 1979 had a clinically unsatisfactory result: recurrent strictures developed in all five patients. All but one of the eight patients receiving a high hepaticojejunostomy from 1980 had a clinically satisfactory result with no recurrent strictures. The one exception was the patient who had a second repair with separate high right and left hepatic duct anastomoses and who has ongoing symptoms from preexisting secondary sclerosing cholangitis. The results in the five high repairs performed for low strictures were particularly striking: All five were asymptomatic. This study lends support to the hypothesis of an ischemic basis for biliary strictures and to the recommendation that strictures be repaired with a high hepaticojejunostomy. 
2,"Relationships of somatic symptoms to behavioral and emotional risk in young adolescents. Junior high students (n = 1508) from a midwestern community completed a health behavioral questionnaire that asked the frequency of headache and abdominal pain and of a number of behavioral and emotional risk indicators. Headache (24%) and abdominal pain (13%) were frequently reported among these young adolescents, particularly among girls. Those reporting frequent somatic complaints also reported significantly more behavioral and emotional symptoms indicative of risk (p less than 0.001). Further, the interaction between somatic complaint and gender significantly affected risk status (p less than 0.01). This interaction was greater with behavioral risk: boys with both abdominal pain and headaches reported higher behavioral risk than all other groups (p less than 0.0001). Somatic symptoms continued to account for a significant amount of variance in behavioral risk after the effects of emotional risk and age were removed. This suggests that behavioral risk and emotional risk are independently associated with somatic complaints. The evaluation of persistent somatic complaints in adolescents, particularly in boys with abdominal symptoms, should include careful examination of emotional risk factors and other health-endangering behaviors such as substance use, early sexual activity, and delinquency. "
3,"Enterogenous cyst of the cerebellopontine angle cistern: case report. A case of an enterogenous cyst located in the cerebellopontine angle cistern is presented. These cysts have usually been found in the spinal canal, and their intracranial occurrence is exceptional. In the present case, the cyst was lined histologically by a single epithelial layer of cuboidal cells with some glandular structures resembling the fundic glands of the stomach. The unusual location of the cyst and its histological features are discussed. "
